"","sigma_s","sigma_e","theta","k_d","lambda","lambda_real","v_bar","time","price","price_cond","k_tilde"
"14266",1,1,1,1.5,0.75,0.95,5,6.41,6.24704771771001,-0.567339129981863,2.37335936493447
"14267",1,1,1,1.5,0.75,0.95,5,6.51,6.25305169889102,-0.573343111162878,2.40538850616165
"14268",1,1,1,1.5,0.75,0.95,5,6.61,6.25891317181042,-0.579204584082273,2.43741764738884
"14269",1,1,1,1.5,0.75,0.95,5,6.71,6.26463551899122,-0.584926931263081,2.46944678861602
"14270",1,1,1,1.5,0.75,0.95,5,6.81,6.27022204267017,-0.590513454942025,2.50147592984321
"14271",1,1,1,1.5,0.75,0.95,5,6.91,6.27567596670331,-0.595967378975171,2.5335050710704
"14272",1,1,1,1.5,0.75,0.95,5,7.01,6.28100043842648,-0.601291850698334,2.56553421229758
"14273",1,1,1,1.5,0.75,0.95,5,7.11,6.28619853047148,-0.606489942743342,2.59756335352477
"14274",1,1,1,1.5,0.75,0.95,5,7.21,6.29127324253932,-0.611564654811173,2.62959249475195
"14275",1,1,1,1.5,0.75,0.95,5,7.31,6.29622750313117,-0.616518915403025,2.66162163597914
"14276",1,1,1,1.5,0.75,0.95,5,7.41,6.30106417123842,-0.621355583510278,2.69365077720632
